"Name";"Description";"Domain";"Generation_type";"Group";"Tags";"Tags_without_influence";"Influences";"Hybrid";"IsEssenceOnly";"Required_level";"Type";"Stat_ID";"Sign";"Min1";"Max1";"Min2";"Max2";"String";"Format_String";"Tier"
"AddedColdDamageEnhancedLevel50Mod_";"Topotante's";"item";"prefix";"ColdDamage";"has_physical_conversion_mod";"";"";"H6";"False";"50";"ColdDamagePhysConvertedToCold";"attack_minimum_added_cold_damage";"positive";"5";"7";"10";"12";"Adds {0} to {1} Cold Damage to Attacks";"Adds (5 - 7) to (10 - 12) Cold Damage to Attacks";"1"
"AddedColdDamageEnhancedLevel50Mod_";"Topotante's";"item";"prefix";"ColdDamage";"has_physical_conversion_mod";"";"";"H6";"False";"50";"ColdDamagePhysConvertedToCold";"base_physical_damage_%_to_convert_to_cold";"positive";"25";"25";"";"";"{0}% of Physical Damage Converted to Cold Damage";"25% of Physical Damage Converted to Cold Damage";"1"
"AddedColdDamageEnhancedMod";"Topotante's";"item";"prefix";"ColdDamage";"has_physical_conversion_mod";"";"";"H7";"False";"1";"ColdDamagePhysConvertedToCold";"attack_minimum_added_cold_damage";"positive";"5";"7";"10";"12";"Adds {0} to {1} Cold Damage to Attacks";"Adds (5 - 7) to (10 - 12) Cold Damage to Attacks";"1"
"AddedColdDamageEnhancedMod";"Topotante's";"item";"prefix";"ColdDamage";"has_physical_conversion_mod";"";"";"H7";"False";"1";"ColdDamagePhysConvertedToCold";"base_physical_damage_%_to_convert_to_cold";"positive";"25";"25";"";"";"{0}% of Physical Damage Converted to Cold Damage";"25% of Physical Damage Converted to Cold Damage";"1"
"AddedFireDamageEnhancedLevel50Mod";"Topotante's";"item";"prefix";"FireDamage";"has_physical_conversion_mod";"";"";"H8";"False";"50";"FireDamagePhysConvertedToFire";"attack_minimum_added_fire_damage";"positive";"5";"7";"11";"13";"Adds {0} to {1} Fire Damage to Attacks";"Adds (5 - 7) to (11 - 13) Fire Damage to Attacks";"1"
"AddedFireDamageEnhancedLevel50Mod";"Topotante's";"item";"prefix";"FireDamage";"has_physical_conversion_mod";"";"";"H8";"False";"50";"FireDamagePhysConvertedToFire";"base_physical_damage_%_to_convert_to_fire";"positive";"25";"25";"";"";"{0}% of Physical Damage Converted to Fire Damage";"25% of Physical Damage Converted to Fire Damage";"1"
"AddedFireDamageEnhancedMod";"Topotante's";"item";"prefix";"FireDamage";"has_physical_conversion_mod";"";"";"H9";"False";"1";"FireDamagePhysConvertedToFire";"attack_minimum_added_fire_damage";"positive";"5";"7";"11";"13";"Adds {0} to {1} Fire Damage to Attacks";"Adds (5 - 7) to (11 - 13) Fire Damage to Attacks";"1"
"AddedFireDamageEnhancedMod";"Topotante's";"item";"prefix";"FireDamage";"has_physical_conversion_mod";"";"";"H9";"False";"1";"FireDamagePhysConvertedToFire";"base_physical_damage_%_to_convert_to_fire";"positive";"25";"25";"";"";"{0}% of Physical Damage Converted to Fire Damage";"25% of Physical Damage Converted to Fire Damage";"1"
"AddedLightningDamageEnhancedLevel50Mod";"Topotante's";"item";"prefix";"LightningDamage";"has_physical_conversion_mod";"";"";"H10";"False";"50";"LightningDamagePhysConvertedToLightning";"attack_minimum_added_lightning_damage";"positive";"1";"2";"22";"23";"Adds {0} to {1} Lightning Damage to Attacks";"Adds (1 - 2) to (22 - 23) Lightning Damage to Attacks";"1"
"AddedLightningDamageEnhancedLevel50Mod";"Topotante's";"item";"prefix";"LightningDamage";"has_physical_conversion_mod";"";"";"H10";"False";"50";"LightningDamagePhysConvertedToLightning";"base_physical_damage_%_to_convert_to_lightning";"positive";"25";"25";"";"";"{0}% of Physical Damage Converted to Lightning Damage";"25% of Physical Damage Converted to Lightning Damage";"1"
"AddedLightningDamageEnhancedMod";"Topotante's";"item";"prefix";"LightningDamage";"has_physical_conversion_mod";"";"";"H11";"False";"1";"LightningDamagePhysConvertedToLightning";"attack_minimum_added_lightning_damage";"positive";"1";"2";"22";"23";"Adds {0} to {1} Lightning Damage to Attacks";"Adds (1 - 2) to (22 - 23) Lightning Damage to Attacks";"1"
"AddedLightningDamageEnhancedMod";"Topotante's";"item";"prefix";"LightningDamage";"has_physical_conversion_mod";"";"";"H11";"False";"1";"LightningDamagePhysConvertedToLightning";"base_physical_damage_%_to_convert_to_lightning";"positive";"25";"25";"";"";"{0}% of Physical Damage Converted to Lightning Damage";"25% of Physical Damage Converted to Lightning Damage";"1"
"AdditionalBlockChancePerEnduranceChargeUber1_";"of the Elder";"item";"suffix";"AdditionalBlockChancePerEnduranceCharge";"sword_elder";"sword";"elder";"H12";"False";"68";"AdditionalBlockChancePerEnduranceChargeUber";"additional_block_%_per_endurance_charge";"positive";"1";"1";"";"";"{0} Chance to Block Attack Damage per Endurance Charge";"+1% Chance to Block Attack Damage per Endurance Charge";"1"
"AdditionalBlockChancePerEnduranceChargeUber1_";"of the Elder";"item";"suffix";"AdditionalBlockChancePerEnduranceCharge";"sword_elder";"sword";"elder";"H12";"False";"68";"AdditionalBlockChancePerEnduranceChargeUber";"chance_to_gain_endurance_charge_on_block_%";"positive";"20";"25";"";"";"{0}% chance to gain an Endurance Charge when you Block";"(20 - 25)% chance to gain an Endurance Charge when you Block";"1"
"AreaDamageSupportedUber1";"Eldritch";"item";"prefix";"AreaDamage";"helmet_elder";"helmet";"elder";"H13";"False";"68";"AreaDamageSupported";"area_damage_+%";"positive";"15";"18";"";"";"{0}% increased Area Damage";"(15 - 18)% increased Area Damage";"3"
"AreaDamageSupportedUber1";"Eldritch";"item";"prefix";"AreaDamage";"helmet_elder";"helmet";"elder";"H13";"False";"68";"AreaDamageSupported";"local_display_socketed_gems_get_concentrated_area_level";"positive";"16";"16";"";"";"Socketed Gems are Supported by Level {0} Concentrated Effect";"Socketed Gems are Supported by Level 16 Concentrated Effect";"3"
"AreaDamageSupportedUber2_";"Eldritch";"item";"prefix";"AreaDamage";"helmet_elder";"helmet";"elder";"H14";"False";"75";"AreaDamageSupported";"area_damage_+%";"positive";"19";"22";"";"";"{0}% increased Area Damage";"(19 - 22)% increased Area Damage";"2"
"AreaDamageSupportedUber2_";"Eldritch";"item";"prefix";"AreaDamage";"helmet_elder";"helmet";"elder";"H14";"False";"75";"AreaDamageSupported";"local_display_socketed_gems_get_concentrated_area_level";"positive";"18";"18";"";"";"Socketed Gems are Supported by Level {0} Concentrated Effect";"Socketed Gems are Supported by Level 18 Concentrated Effect";"2"
"AreaDamageSupportedUber3";"Eldritch";"item";"prefix";"AreaDamage";"helmet_elder";"helmet";"elder";"H15";"False";"82";"AreaDamageSupported";"area_damage_+%";"positive";"23";"25";"";"";"{0}% increased Area Damage";"(23 - 25)% increased Area Damage";"1"
"AreaDamageSupportedUber3";"Eldritch";"item";"prefix";"AreaDamage";"helmet_elder";"helmet";"elder";"H15";"False";"82";"AreaDamageSupported";"local_display_socketed_gems_get_concentrated_area_level";"positive";"20";"20";"";"";"Socketed Gems are Supported by Level {0} Concentrated Effect";"Socketed Gems are Supported by Level 20 Concentrated Effect";"1"
"AreaOfEffectSupportedUber1_";"The Shaper's";"item";"prefix";"AreaOfEffect";"helmet_shaper";"helmet";"shaper";"H16";"False";"68";"AreaOfEffectSupported";"base_skill_area_of_effect_+%";"positive";"7";"9";"";"";"{0}% increased Area of Effect";"(7 - 9)% increased Area of Effect";"3"
"AreaOfEffectSupportedUber1_";"The Shaper's";"item";"prefix";"AreaOfEffect";"helmet_shaper";"helmet";"shaper";"H16";"False";"68";"AreaOfEffectSupported";"local_display_socketed_gems_get_increased_area_level";"positive";"16";"16";"";"";"Socketed Gems are Supported by Level {0} Increased Area of Effect";"Socketed Gems are Supported by Level 16 Increased Area of Effect";"3"
"AreaOfEffectSupportedUber2";"The Shaper's";"item";"prefix";"AreaOfEffect";"helmet_shaper";"helmet";"shaper";"H17";"False";"75";"AreaOfEffectSupported";"base_skill_area_of_effect_+%";"positive";"10";"12";"";"";"{0}% increased Area of Effect";"(10 - 12)% increased Area of Effect";"2"
"AreaOfEffectSupportedUber2";"The Shaper's";"item";"prefix";"AreaOfEffect";"helmet_shaper";"helmet";"shaper";"H17";"False";"75";"AreaOfEffectSupported";"local_display_socketed_gems_get_increased_area_level";"positive";"18";"18";"";"";"Socketed Gems are Supported by Level {0} Increased Area of Effect";"Socketed Gems are Supported by Level 18 Increased Area of Effect";"2"
"AreaOfEffectSupportedUber3";"The Shaper's";"item";"prefix";"AreaOfEffect";"helmet_shaper";"helmet";"shaper";"H18";"False";"83";"AreaOfEffectSupported";"base_skill_area_of_effect_+%";"positive";"13";"15";"";"";"{0}% increased Area of Effect";"(13 - 15)% increased Area of Effect";"1"
"AreaOfEffectSupportedUber3";"The Shaper's";"item";"prefix";"AreaOfEffect";"helmet_shaper";"helmet";"shaper";"H18";"False";"83";"AreaOfEffectSupported";"local_display_socketed_gems_get_increased_area_level";"positive";"20";"20";"";"";"Socketed Gems are Supported by Level {0} Increased Area of Effect";"Socketed Gems are Supported by Level 20 Increased Area of Effect";"1"
"AvoidBleedAndPoisonInfluence1";"of the Hunt";"item";"suffix";"AvoidBleedAndPoison";"boots_basilisk";"boots";"basilisk";"H19";"False";"68";"AvoidBleedAndPoison";"base_avoid_bleed_%";"positive";"21";"25";"";"";"{0}% chance to avoid Bleeding";"(21 - 25)% chance to avoid Bleeding";"3"
"AvoidBleedAndPoisonInfluence1";"of the Hunt";"item";"suffix";"AvoidBleedAndPoison";"boots_basilisk";"boots";"basilisk";"H19";"False";"68";"AvoidBleedAndPoison";"base_avoid_poison_%";"positive";"21";"25";"";"";"{0}% chance to Avoid being Poisoned";"(21 - 25)% chance to Avoid being Poisoned";"3"
"AvoidBleedAndPoisonInfluence2____";"of the Hunt";"item";"suffix";"AvoidBleedAndPoison";"boots_basilisk";"boots";"basilisk";"H20";"False";"70";"AvoidBleedAndPoison";"base_avoid_bleed_%";"positive";"26";"30";"";"";"{0}% chance to avoid Bleeding";"(26 - 30)% chance to avoid Bleeding";"2"
"AvoidBleedAndPoisonInfluence2____";"of the Hunt";"item";"suffix";"AvoidBleedAndPoison";"boots_basilisk";"boots";"basilisk";"H20";"False";"70";"AvoidBleedAndPoison";"base_avoid_poison_%";"positive";"26";"30";"";"";"{0}% chance to Avoid being Poisoned";"(26 - 30)% chance to Avoid being Poisoned";"2"
"AvoidBleedAndPoisonInfluence3";"of the Hunt";"item";"suffix";"AvoidBleedAndPoison";"boots_basilisk";"boots";"basilisk";"H21";"False";"75";"AvoidBleedAndPoison";"base_avoid_bleed_%";"positive";"31";"35";"";"";"{0}% chance to avoid Bleeding";"(31 - 35)% chance to avoid Bleeding";"1"
"AvoidBleedAndPoisonInfluence3";"of the Hunt";"item";"suffix";"AvoidBleedAndPoison";"boots_basilisk";"boots";"basilisk";"H21";"False";"75";"AvoidBleedAndPoison";"base_avoid_poison_%";"positive";"31";"35";"";"";"{0}% chance to Avoid being Poisoned";"(31 - 35)% chance to Avoid being Poisoned";"1"
"BleedChanceAndDurationForJewel__";"of Bleeding";"misc";"suffix";"AilmentChanceAndDuration";"not_str,default";"not_str,default";"";"H22";"False";"1";"BleedChanceAndDurationForJewel";"bleed_on_hit_with_attacks_%";"positive";"3";"5";"";"";"Attacks have {0}% chance to cause Bleeding";"Attacks have (3 - 5)% chance to cause Bleeding";"0"
"BleedChanceAndDurationForJewel__";"of Bleeding";"misc";"suffix";"AilmentChanceAndDuration";"not_str,default";"not_str,default";"";"H22";"False";"1";"BleedChanceAndDurationForJewel";"base_bleed_duration_+%";"positive";"12";"16";"";"";"{0}% increased Bleeding Duration";"(12 - 16)% increased Bleeding Duration";"0"
"BleedDamage1_";"of Bloodletting";"item";"suffix";"BleedingDamage";"bow,sword,axe,mace";"bow,sword,axe,mace";"";"H23";"False";"20";"BleedingDamageChanceWeaponSuffix";"bleeding_damage_+%";"positive";"21";"30";"";"";"{0}% increased Damage with Bleeding";"(21 - 30)% increased Damage with Bleeding";"3"
"BleedDamage1_";"of Bloodletting";"item";"suffix";"BleedingDamage";"bow,sword,axe,mace";"bow,sword,axe,mace";"";"H23";"False";"20";"BleedingDamageChanceWeaponSuffix";"bleed_on_hit_with_attacks_%";"positive";"20";"20";"";"";"Attacks have {0}% chance to cause Bleeding";"Attacks have 20% chance to cause Bleeding";"3"
"BleedDamage2";"of Haemophilia";"item";"suffix";"BleedingDamage";"bow,sword,axe,mace";"bow,sword,axe,mace";"";"H24";"False";"40";"BleedingDamageChanceWeaponSuffix";"bleeding_damage_+%";"positive";"31";"40";"";"";"{0}% increased Damage with Bleeding";"(31 - 40)% increased Damage with Bleeding";"2"
"BleedDamage2";"of Haemophilia";"item";"suffix";"BleedingDamage";"bow,sword,axe,mace";"bow,sword,axe,mace";"";"H24";"False";"40";"BleedingDamageChanceWeaponSuffix";"bleed_on_hit_with_attacks_%";"positive";"25";"25";"";"";"Attacks have {0}% chance to cause Bleeding";"Attacks have 25% chance to cause Bleeding";"2"
"BleedDamage3";"of Exsanguination";"item";"suffix";"BleedingDamage";"bow,sword,axe,mace";"bow,sword,axe,mace";"";"H25";"False";"60";"BleedingDamageChanceWeaponSuffix";"bleeding_damage_+%";"positive";"41";"50";"";"";"{0}% increased Damage with Bleeding";"(41 - 50)% increased Damage with Bleeding";"1"
"BleedDamage3";"of Exsanguination";"item";"suffix";"BleedingDamage";"bow,sword,axe,mace";"bow,sword,axe,mace";"";"H25";"False";"60";"BleedingDamageChanceWeaponSuffix";"bleed_on_hit_with_attacks_%";"positive";"30";"30";"";"";"Attacks have {0}% chance to cause Bleeding";"Attacks have 30% chance to cause Bleeding";"1"
"BleedDamageAndDurationInfluence1__";"of the Conquest";"item";"suffix";"BleedingDamage";"ring_adjudicator";"ring";"adjudicator";"H26";"False";"68";"BleedDamageAndDuration";"bleeding_damage_+%";"positive";"8";"12";"";"";"{0}% increased Damage with Bleeding";"(8 - 12)% increased Damage with Bleeding";"3"
"BleedDamageAndDurationInfluence1__";"of the Conquest";"item";"suffix";"BleedingDamage";"ring_adjudicator";"ring";"adjudicator";"H26";"False";"68";"BleedDamageAndDuration";"base_bleed_duration_+%";"positive";"5";"6";"";"";"{0}% increased Bleeding Duration";"(5 - 6)% increased Bleeding Duration";"3"
"BleedDamageAndDurationInfluence2_";"of the Conquest";"item";"suffix";"BleedingDamage";"ring_adjudicator";"ring";"adjudicator";"H27";"False";"75";"BleedDamageAndDuration";"bleeding_damage_+%";"positive";"13";"17";"";"";"{0}% increased Damage with Bleeding";"(13 - 17)% increased Damage with Bleeding";"2"
"BleedDamageAndDurationInfluence2_";"of the Conquest";"item";"suffix";"BleedingDamage";"ring_adjudicator";"ring";"adjudicator";"H27";"False";"75";"BleedDamageAndDuration";"base_bleed_duration_+%";"positive";"7";"8";"";"";"{0}% increased Bleeding Duration";"(7 - 8)% increased Bleeding Duration";"2"
"BleedDamageAndDurationInfluence3";"of the Conquest";"item";"suffix";"BleedingDamage";"ring_adjudicator";"ring";"adjudicator";"H28";"False";"80";"BleedDamageAndDuration";"bleeding_damage_+%";"positive";"18";"22";"";"";"{0}% increased Damage with Bleeding";"(18 - 22)% increased Damage with Bleeding";"1"
"BleedDamageAndDurationInfluence3";"of the Conquest";"item";"suffix";"BleedingDamage";"ring_adjudicator";"ring";"adjudicator";"H28";"False";"80";"BleedDamageAndDuration";"base_bleed_duration_+%";"positive";"9";"10";"";"";"{0}% increased Bleeding Duration";"(9 - 10)% increased Bleeding Duration";"1"
"BleedingDamageUber1";"of the Elder";"item";"suffix";"BleedingDamage";"gloves_elder";"gloves";"elder";"H29";"False";"68";"BleedingDamageSupported";"bleeding_damage_+%";"positive";"20";"25";"";"";"{0}% increased Damage with Bleeding";"(20 - 25)% increased Damage with Bleeding";"3"
"BleedingDamageUber1";"of the Elder";"item";"suffix";"BleedingDamage";"gloves_elder";"gloves";"elder";"H29";"False";"68";"BleedingDamageSupported";"local_display_socketed_gems_supported_by_level_x_chance_to_bleed";"positive";"16";"16";"";"";"Socketed Gems are Supported by Level {0} Chance To Bleed";"Socketed Gems are Supported by Level 16 Chance To Bleed";"3"
"BleedingDamageUber2";"of the Elder";"item";"suffix";"BleedingDamage";"gloves_elder";"gloves";"elder";"H30";"False";"75";"BleedingDamageSupported";"bleeding_damage_+%";"positive";"26";"30";"";"";"{0}% increased Damage with Bleeding";"(26 - 30)% increased Damage with Bleeding";"2"
"BleedingDamageUber2";"of the Elder";"item";"suffix";"BleedingDamage";"gloves_elder";"gloves";"elder";"H30";"False";"75";"BleedingDamageSupported";"local_display_socketed_gems_supported_by_level_x_chance_to_bleed";"positive";"18";"18";"";"";"Socketed Gems are Supported by Level {0} Chance To Bleed";"Socketed Gems are Supported by Level 18 Chance To Bleed";"2"
"BleedingDamageUber3";"of the Elder";"item";"suffix";"BleedingDamage";"gloves_elder";"gloves";"elder";"H31";"False";"80";"BleedingDamageSupported";"bleeding_damage_+%";"positive";"31";"35";"";"";"{0}% increased Damage with Bleeding";"(31 - 35)% increased Damage with Bleeding";"1"
"BleedingDamageUber3";"of the Elder";"item";"suffix";"BleedingDamage";"gloves_elder";"gloves";"elder";"H31";"False";"80";"BleedingDamageSupported";"local_display_socketed_gems_supported_by_level_x_chance_to_bleed";"positive";"20";"20";"";"";"Socketed Gems are Supported by Level {0} Chance To Bleed";"Socketed Gems are Supported by Level 20 Chance To Bleed";"1"
"BleedOnHitDamageInfluence1_";"of the Conquest";"item";"suffix";"BleedingDamage";"quiver_adjudicator";"quiver";"adjudicator";"H32";"False";"68";"BleedOnHitAndDamage";"bleed_on_hit_with_attacks_%";"positive";"10";"10";"";"";"Attacks have {0}% chance to cause Bleeding";"Attacks have 10% chance to cause Bleeding";"2"
"BleedOnHitDamageInfluence1_";"of the Conquest";"item";"suffix";"BleedingDamage";"quiver_adjudicator";"quiver";"adjudicator";"H32";"False";"68";"BleedOnHitAndDamage";"bleeding_damage_+%";"positive";"15";"25";"";"";"{0}% increased Damage with Bleeding";"(15 - 25)% increased Damage with Bleeding";"2"
"BleedOnHitDamageInfluence2_";"of the Conquest";"item";"suffix";"BleedingDamage";"quiver_adjudicator";"quiver";"adjudicator";"H33";"False";"75";"BleedOnHitAndDamage";"bleed_on_hit_with_attacks_%";"positive";"15";"15";"";"";"Attacks have {0}% chance to cause Bleeding";"Attacks have 15% chance to cause Bleeding";"1"
"BleedOnHitDamageInfluence2_";"of the Conquest";"item";"suffix";"BleedingDamage";"quiver_adjudicator";"quiver";"adjudicator";"H33";"False";"75";"BleedOnHitAndDamage";"bleeding_damage_+%";"positive";"26";"30";"";"";"{0}% increased Damage with Bleeding";"(26 - 30)% increased Damage with Bleeding";"1"
"BleedOnHitQuiverUber1";"of the Elder";"item";"suffix";"BleedingDamage";"quiver_elder";"quiver";"elder";"H34";"False";"68";"BleedOnHitAndDamage";"bleed_on_hit_with_attacks_%";"positive";"10";"10";"";"";"Attacks have {0}% chance to cause Bleeding";"Attacks have 10% chance to cause Bleeding";"2"
"BleedOnHitQuiverUber1";"of the Elder";"item";"suffix";"BleedingDamage";"quiver_elder";"quiver";"elder";"H34";"False";"68";"BleedOnHitAndDamage";"bleeding_damage_+%";"positive";"15";"25";"";"";"{0}% increased Damage with Bleeding";"(15 - 25)% increased Damage with Bleeding";"2"
"BleedOnHitQuiverUber2_";"of the Elder";"item";"suffix";"BleedingDamage";"quiver_elder";"quiver";"elder";"H35";"False";"75";"BleedOnHitAndDamage";"bleed_on_hit_with_attacks_%";"positive";"15";"15";"";"";"Attacks have {0}% chance to cause Bleeding";"Attacks have 15% chance to cause Bleeding";"1"
"BleedOnHitQuiverUber2_";"of the Elder";"item";"suffix";"BleedingDamage";"quiver_elder";"quiver";"elder";"H35";"False";"75";"BleedOnHitAndDamage";"bleeding_damage_+%";"positive";"26";"30";"";"";"{0}% increased Damage with Bleeding";"(26 - 30)% increased Damage with Bleeding";"1"
"BlindOnHitSupportedUber1";"of Shaping";"item";"suffix";"BlindOnHit";"gloves_shaper";"gloves";"shaper";"H36";"False";"68";"BlindOnHitSupported";"global_chance_to_blind_on_hit_%";"positive";"5";"6";"";"";"{0}% Global chance to Blind Enemies on hit";"(5 - 6)% Global chance to Blind Enemies on hit";"3"
"BlindOnHitSupportedUber1";"of Shaping";"item";"suffix";"BlindOnHit";"gloves_shaper";"gloves";"shaper";"H36";"False";"68";"BlindOnHitSupported";"local_display_socketed_gems_get_blind_level";"positive";"16";"16";"";"";"Socketed Gems are supported by Level {0} Blind";"Socketed Gems are supported by Level 16 Blind";"3"
"BlindOnHitSupportedUber2";"of Shaping";"item";"suffix";"BlindOnHit";"gloves_shaper";"gloves";"shaper";"H37";"False";"75";"BlindOnHitSupported";"global_chance_to_blind_on_hit_%";"positive";"7";"8";"";"";"{0}% Global chance to Blind Enemies on hit";"(7 - 8)% Global chance to Blind Enemies on hit";"2"
"BlindOnHitSupportedUber2";"of Shaping";"item";"suffix";"BlindOnHit";"gloves_shaper";"gloves";"shaper";"H37";"False";"75";"BlindOnHitSupported";"local_display_socketed_gems_get_blind_level";"positive";"18";"18";"";"";"Socketed Gems are supported by Level {0} Blind";"Socketed Gems are supported by Level 18 Blind";"2"
"BlindOnHitSupportedUber3";"of Shaping";"item";"suffix";"BlindOnHit";"gloves_shaper";"gloves";"shaper";"H38";"False";"80";"BlindOnHitSupported";"global_chance_to_blind_on_hit_%";"positive";"9";"10";"";"";"{0}% Global chance to Blind Enemies on hit";"(9 - 10)% Global chance to Blind Enemies on hit";"1"
"BlindOnHitSupportedUber3";"of Shaping";"item";"suffix";"BlindOnHit";"gloves_shaper";"gloves";"shaper";"H38";"False";"80";"BlindOnHitSupported";"local_display_socketed_gems_get_blind_level";"positive";"20";"20";"";"";"Socketed Gems are supported by Level {0} Blind";"Socketed Gems are supported by Level 20 Blind";"1"
"ChanceToBleedUber1";"of the Elder";"item";"suffix";"LocalChanceToBleed";"sword_elder,axe_elder,mace_elder,claw_elder,dagger_elder,rune_dagger_elder,has_attack_mod";"sword,axe,mace,claw,dagger,rune_dagger";"elder";"H39";"False";"68";"ChanceToBleedSupported";"local_chance_to_bleed_on_hit_%";"positive";"10";"10";"";"";"{0}% chance to cause Bleeding on Hit";"10% chance to cause Bleeding on Hit";"2"
"ChanceToBleedUber1";"of the Elder";"item";"suffix";"LocalChanceToBleed";"sword_elder,axe_elder,mace_elder,claw_elder,dagger_elder,rune_dagger_elder,has_attack_mod";"sword,axe,mace,claw,dagger,rune_dagger";"elder";"H39";"False";"68";"ChanceToBleedSupported";"local_display_socketed_gems_supported_by_level_x_chance_to_bleed";"positive";"18";"18";"";"";"Socketed Gems are Supported by Level {0} Chance To Bleed";"Socketed Gems are Supported by Level 18 Chance To Bleed";"2"
"ChanceToBleedUber2";"of the Elder";"item";"suffix";"LocalChanceToBleed";"sword_elder,axe_elder,mace_elder,claw_elder,dagger_elder,rune_dagger_elder,has_attack_mod";"sword,axe,mace,claw,dagger,rune_dagger";"elder";"H40";"False";"75";"ChanceToBleedSupported";"local_chance_to_bleed_on_hit_%";"positive";"15";"15";"";"";"{0}% chance to cause Bleeding on Hit";"15% chance to cause Bleeding on Hit";"1"
"ChanceToBleedUber2";"of the Elder";"item";"suffix";"LocalChanceToBleed";"sword_elder,axe_elder,mace_elder,claw_elder,dagger_elder,rune_dagger_elder,has_attack_mod";"sword,axe,mace,claw,dagger,rune_dagger";"elder";"H40";"False";"75";"ChanceToBleedSupported";"local_display_socketed_gems_supported_by_level_x_chance_to_bleed";"positive";"20";"20";"";"";"Socketed Gems are Supported by Level {0} Chance To Bleed";"Socketed Gems are Supported by Level 20 Chance To Bleed";"1"
"ChanceToFreezeAddedDamageInfluence1_";"Redeemer's";"item";"prefix";"AilmentChanceAddedDamage";"ring_eyrie";"ring";"eyrie";"H41";"False";"68";"ChanceToFreezeAddedDamage";"base_chance_to_freeze_%";"positive";"4";"6";"";"";"{0}% chance to Freeze";"(4 - 6)% chance to Freeze";"2"
