"item_class";"name";"tags";"armour";"movement speed";"energy shield";"evasion rating";"chance to block";"attacks per second";"critical strike chance";"physical damage min";"physical damage";"weapon range";"dexterity";"intelligence";"strength";"level";"item_class_req";"item_tags_combination"
"belt";"Crystal Belt";"not_for_sale,atlas_base_type,beltatlas2,belt,default";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"30"
"belt";"Golden Obi";"not_for_sale,belt,default";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"43"
"belt";"Heavy Belt";"belt,default";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4"
"belt";"Leather Belt";"belt,default";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4"
"belt";"Rustic Sash";"belt,default";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4"
"belt";"Studded Belt";"belt,default";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4"
"belt";"Stygian Vise";"not_for_sale,belt,default";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"43"
"belt";"Vanguard Belt";"not_for_sale,atlas_base_type,beltatlas1,belt,default";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"29"
"body armour";"Arena Plate";"str_armour,body_armour,armour,default";"324";"-5";"";"";"";"";"";"";"";"";"0";"0";"91";"32";"str";"71"
"body armour";"Assassin's Garb";"dex_armour,body_armour,armour,default";"";"";"";"737";"";"";"";"";"";"";"183";"0";"0";"68";"dex";"9"
"body armour";"Astral Plate";"str_armour,body_armour,armour,default";"711";"-5";"";"";"";"";"";"";"";"";"0";"0";"180";"62";"str";"71"
"body armour";"Battle Lamellar";"str_dex_armour,body_armour,armour,default";"297";"-3";"";"297";"";"";"";"";"";"";"79";"0";"79";"54";"dexstr";"78"
"body armour";"Battle Plate";"str_armour,body_armour,armour,default";"412";"-5";"";"";"";"";"";"";"";"";"0";"0";"114";"41";"str";"71"
"body armour";"Blood Raiment";"dex_int_armour,body_armour,armour,default";"";"-3";"70";"436";"";"";"";"";"";"";"107";"90";"0";"65";"dexint";"14"
"body armour";"Bone Armour";"dex_int_armour,body_armour,armour,default";"";"-3";"39";"194";"";"";"";"";"";"";"53";"53";"0";"35";"dexint";"14"
"body armour";"Bronze Plate";"str_armour,body_armour,armour,default";"373";"-5";"";"";"";"";"";"";"";"";"0";"0";"104";"37";"str";"71"
"body armour";"Buckskin Tunic";"dex_armour,body_armour,armour,default";"";"-3";"";"176";"";"";"";"";"";"";"53";"0";"0";"17";"dex";"9"
"body armour";"Cabalist Regalia";"int_armour,body_armour,armour,default";"";"-3";"71";"";"";"";"";"";"";"";"0";"99";"0";"35";"int";"19"
"body armour";"Carnal Armour";"dex_int_armour,body_armour,armour,default";"";"-3";"98";"353";"";"";"";"";"";"";"88";"122";"0";"71";"dexint";"14"
"body armour";"Chain Hauberk";"str_int_armour,body_armour,armour,default";"281";"-5";"55";"";"";"";"";"";"";"";"0";"75";"75";"51";"intstr";"84"
"body armour";"Chainmail Doublet";"str_int_armour,body_armour,armour,default";"119";"-5";"25";"";"";"";"";"";"";"";"0";"34";"34";"21";"intstr";"84"
"body armour";"Chainmail Tunic";"str_int_armour,body_armour,armour,default";"48";"-5";"12";"";"";"";"";"";"";"";"0";"16";"16";"8";"intstr";"84"
"body armour";"Chainmail Vest";"str_int_armour,body_armour,armour,default";"27";"-5";"8";"";"";"";"";"";"";"";"0";"10";"10";"4";"intstr";"84"
"body armour";"Chestplate";"str_armour,body_armour,armour,default";"68";"-5";"";"";"";"";"";"";"";"";"0";"0";"25";"6";"str";"71"
"body armour";"Colosseum Plate";"str_armour,body_armour,armour,default";"491";"-5";"";"";"";"";"";"";"";"";"0";"0";"134";"49";"str";"71"
"body armour";"Commander's Brigandine";"str_dex_armour,body_armour,armour,default";"275";"-3";"";"275";"";"";"";"";"";"";"73";"0";"73";"50";"dexstr";"78"
"body armour";"Conjurer's Vestment";"int_armour,body_armour,armour,default";"";"-3";"89";"";"";"";"";"";"";"";"0";"124";"0";"45";"int";"19"
"body armour";"Conquest Chainmail";"str_int_armour,body_armour,armour,default";"387";"-5";"75";"";"";"";"";"";"";"";"0";"96";"96";"61";"intstr";"84"
"body armour";"Copper Plate";"str_armour,body_armour,armour,default";"176";"-5";"";"";"";"";"";"";"";"";"0";"0";"53";"17";"str";"71"
"body armour";"Coronal Leather";"dex_armour,body_armour,armour,default";"";"-3";"";"491";"";"";"";"";"";"";"134";"0";"0";"49";"dex";"9"
"body armour";"Crimson Raiment";"dex_int_armour,body_armour,armour,default";"";"-3";"52";"264";"";"";"";"";"";"";"71";"71";"0";"48";"dexint";"14"
"body armour";"Crusader Chainmail";"str_int_armour,body_armour,armour,default";"237";"-5";"47";"";"";"";"";"";"";"";"0";"64";"64";"43";"intstr";"84"
"body armour";"Crusader Plate";"str_armour,body_armour,armour,default";"601";"-5";"";"";"";"";"";"";"";"";"0";"0";"160";"59";"str";"71"
"body armour";"Crypt Armour";"dex_int_armour,body_armour,armour,default";"";"-3";"60";"308";"";"";"";"";"";"";"82";"82";"0";"56";"dexint";"14"
"body armour";"Cutthroat's Garb";"dex_armour,body_armour,armour,default";"";"-3";"";"530";"";"";"";"";"";"";"144";"0";"0";"53";"dex";"9"
"body armour";"Desert Brigandine";"str_dex_armour,body_armour,armour,default";"376";"-3";"";"376";"";"";"";"";"";"";"96";"0";"96";"60";"dexstr";"78"
"body armour";"Destiny Leather";"dex_armour,body_armour,armour,default";"";"-3";"";"601";"";"";"";"";"";"";"160";"0";"0";"59";"dex";"9"
"body armour";"Destroyer Regalia";"int_armour,body_armour,armour,default";"";"-3";"104";"";"";"";"";"";"";"";"0";"144";"0";"53";"int";"19"
"body armour";"Devout Chainmail";"str_int_armour,body_armour,armour,default";"302";"-5";"59";"";"";"";"";"";"";"";"0";"80";"80";"55";"intstr";"84"
"body armour";"Dragonscale Doublet";"str_dex_armour,body_armour,armour,default";"313";"-3";"";"313";"";"";"";"";"";"";"83";"0";"83";"57";"dexstr";"78"
"body armour";"Eelskin Tunic";"dex_armour,body_armour,armour,default";"";"-3";"";"373";"";"";"";"";"";"";"104";"0";"0";"37";"dex";"9"
"body armour";"Elegant Ringmail";"str_int_armour,body_armour,armour,default";"377";"-5";"87";"";"";"";"";"";"";"";"0";"105";"90";"64";"intstr";"84"
"body armour";"Exquisite Leather";"dex_armour,body_armour,armour,default";"";"-3";"";"704";"";"";"";"";"";"";"170";"0";"0";"62";"dex";"9"
"body armour";"Field Lamellar";"str_dex_armour,body_armour,armour,default";"194";"-3";"";"194";"";"";"";"";"";"";"53";"0";"53";"35";"dexstr";"78"
"body armour";"Frontier Leather";"dex_armour,body_armour,armour,default";"";"-3";"";"412";"";"";"";"";"";"";"114";"0";"0";"41";"dex";"9"
"body armour";"Full Chainmail";"str_int_armour,body_armour,armour,default";"178";"-5";"36";"";"";"";"";"";"";"";"0";"48";"48";"32";"intstr";"84"
"body armour";"Full Dragonscale";"str_dex_armour,body_armour,armour,default";"470";"-3";"";"373";"";"";"";"";"";"";"94";"0";"115";"63";"dexstr";"78"
"body armour";"Full Leather";"dex_armour,body_armour,armour,default";"";"-3";"";"284";"";"";"";"";"";"";"81";"0";"0";"28";"dex";"9"
"body armour";"Full Plate";"str_armour,body_armour,armour,default";"284";"-5";"";"";"";"";"";"";"";"";"0";"0";"81";"28";"str";"71"
"body armour";"Full Ringmail";"str_int_armour,body_armour,armour,default";"156";"-5";"32";"";"";"";"";"";"";"";"0";"43";"43";"28";"intstr";"84"
"body armour";"Full Scale Armour";"str_dex_armour,body_armour,armour,default";"156";"-3";"";"156";"";"";"";"";"";"";"43";"0";"43";"28";"dexstr";"78"
"body armour";"Full Wyrmscale";"str_dex_armour,body_armour,armour,default";"254";"-3";"";"254";"";"";"";"";"";"";"68";"0";"68";"46";"dexstr";"78"
"body armour";"General's Brigandine";"str_dex_armour,body_armour,armour,default";"415";"-3";"";"415";"";"";"";"";"";"";"103";"0";"103";"66";"dexstr";"78"
"body armour";"Gladiator Plate";"str_armour,body_armour,armour,default";"738";"-5";"";"";"";"";"";"";"";"";"0";"0";"177";"65";"str";"71"
"body armour";"Glorious Leather";"dex_armour,body_armour,armour,default";"";"-3";"";"451";"";"";"";"";"";"";"124";"0";"0";"45";"dex";"9"
"body armour";"Glorious Plate";"str_armour,body_armour,armour,default";"776";"";"";"";"";"";"";"";"";"";"0";"0";"191";"68";"str";"71"
"body armour";"Golden Mantle";"str_dex_int_armour,not_for_sale,body_armour,armour,default";"75";"";"16";"75";"";"";"";"";"";"";"8";"8";"8";"20";"dexintstr";"83"
"body armour";"Golden Plate";"str_armour,body_armour,armour,default";"559";"-5";"";"";"";"";"";"";"";"";"0";"0";"152";"56";"str";"71"
"body armour";"Holy Chainmail";"str_int_armour,body_armour,armour,default";"194";"-5";"39";"";"";"";"";"";"";"";"0";"53";"53";"35";"intstr";"84"
"body armour";"Hussar Brigandine";"str_dex_armour,body_armour,armour,default";"232";"-3";"";"232";"";"";"";"";"";"";"62";"0";"62";"42";"dexstr";"78"
"body armour";"Infantry Brigandine";"str_dex_armour,body_armour,armour,default";"119";"-3";"";"119";"";"";"";"";"";"";"34";"0";"34";"21";"dexstr";"78"
"body armour";"Kaom's Plate";"str_armour,not_for_sale,body_armour,armour,default";"23";"";"";"";"";"";"";"";"";"";"0";"0";"14";"1";"str";"75"
"body armour";"Lacquered Garb";"dex_int_armour,body_armour,armour,default";"";"-3";"56";"286";"";"";"";"";"";"";"76";"76";"0";"52";"dexint";"14"
"body armour";"Latticed Ringmail";"str_int_armour,body_armour,armour,default";"216";"-5";"43";"";"";"";"";"";"";"";"0";"59";"59";"39";"intstr";"84"
"body armour";"Light Brigandine";"str_dex_armour,body_armour,armour,default";"48";"-3";"";"48";"";"";"";"";"";"";"16";"0";"16";"8";"dexstr";"78"
"body armour";"Lordly Plate";"str_armour,body_armour,armour,default";"353";"-5";"";"";"";"";"";"";"";"";"0";"0";"99";"35";"str";"71"
"body armour";"Loricated Ringmail";"str_int_armour,body_armour,armour,default";"325";"-5";"63";"";"";"";"";"";"";"";"0";"84";"84";"58";"intstr";"84"
"body armour";"Mage's Vestment";"int_armour,body_armour,armour,default";"";"-3";"58";"";"";"";"";"";"";"";"0";"81";"0";"28";"int";"19"
"body armour";"Majestic Plate";"str_armour,body_armour,armour,default";"530";"-5";"";"";"";"";"";"";"";"";"0";"0";"144";"53";"str";"71"
"body armour";"Necromancer Silks";"int_armour,body_armour,armour,default";"";"-3";"117";"";"";"";"";"";"";"";"0";"160";"0";"59";"int";"19"
"body armour";"Occultist's Vestment";"int_armour,body_armour,armour,default";"";"-3";"130";"";"";"";"";"";"";"";"0";"180";"0";"62";"int";"19"
"body armour";"Oiled Coat";"dex_int_armour,body_armour,armour,default";"";"-3";"26";"124";"";"";"";"";"";"";"35";"35";"0";"22";"dexint";"14"
"body armour";"Oiled Vest";"dex_int_armour,body_armour,armour,default";"";"-3";"13";"54";"";"";"";"";"";"";"17";"17";"0";"9";"dexint";"14"
"body armour";"Ornate Ringmail";"str_int_armour,body_armour,armour,default";"259";"-5";"51";"";"";"";"";"";"";"";"0";"69";"69";"47";"intstr";"84"
"body armour";"Padded Jacket";"dex_int_armour,body_armour,armour,default";"";"-3";"22";"102";"";"";"";"";"";"";"30";"30";"0";"18";"dexint";"14"
"body armour";"Padded Vest";"dex_int_armour,body_armour,armour,default";"";"-3";"8";"27";"";"";"";"";"";"";"10";"10";"0";"4";"dexint";"14"
"body armour";"Plate Vest";"str_armour,body_armour,armour,default";"19";"-3";"";"";"";"";"";"";"";"";"0";"0";"12";"1";"str";"71"
"body armour";"Quilted Jacket";"dex_int_armour,body_armour,armour,default";"";"-3";"44";"221";"";"";"";"";"";"";"60";"60";"0";"40";"dexint";"14"
"body armour";"Ringmail Coat";"str_int_armour,body_armour,armour,default";"97";"-5";"21";"";"";"";"";"";"";"";"0";"28";"28";"17";"intstr";"84"
"body armour";"Sacrificial Garb";"str_dex_int_armour,not_for_sale,body_armour,armour,default";"329";"-3";"64";"329";"";"";"";"";"";"";"66";"66";"66";"72";"dexintstr";"83"
"body armour";"Sadist Garb";"dex_int_armour,body_armour,armour,default";"";"-3";"88";"427";"";"";"";"";"";"";"103";"109";"0";"68";"dexint";"14"
"body armour";"Sage's Robe";"int_armour,body_armour,armour,default";"";"-3";"74";"";"";"";"";"";"";"";"0";"104";"0";"37";"int";"19"
"body armour";"Saintly Chainmail";"str_int_armour,body_armour,armour,default";"401";"-5";"91";"";"";"";"";"";"";"";"0";"115";"99";"70";"intstr";"84"
"body armour";"Saint's Hauberk";"str_int_armour,body_armour,armour,default";"443";"-5";"73";"";"";"";"";"";"";"";"0";"94";"109";"67";"intstr";"84"
"body armour";"Savant's Robe";"int_armour,body_armour,armour,default";"";"-3";"109";"";"";"";"";"";"";"";"0";"152";"0";"56";"int";"19"
"body armour";"Scale Doublet";"str_dex_armour,body_armour,armour,default";"97";"-3";"";"97";"";"";"";"";"";"";"28";"0";"28";"17";"dexstr";"78"
"body armour";"Scale Vest";"str_dex_armour,body_armour,armour,default";"27";"-3";"";"27";"";"";"";"";"";"";"10";"0";"10";"4";"dexstr";"78"
"body armour";"Scarlet Raiment";"dex_int_armour,body_armour,armour,default";"";"-3";"32";"156";"";"";"";"";"";"";"43";"43";"0";"28";"dexint";"14"
"body armour";"Scholar's Robe";"int_armour,body_armour,armour,default";"";"-3";"39";"";"";"";"";"";"";"";"0";"55";"0";"18";"int";"19"
"body armour";"Sentinel Jacket";"dex_int_armour,body_armour,armour,default";"";"-3";"64";"330";"";"";"";"";"";"";"86";"86";"0";"59";"dexint";"14"
"body armour";"Shabby Jerkin";"dex_armour,body_armour,armour,default";"";"-3";"";"29";"";"";"";"";"";"";"14";"0";"0";"2";"dex";"9"
"body armour";"Sharkskin Tunic";"dex_armour,body_armour,armour,default";"";"-3";"";"559";"";"";"";"";"";"";"152";"0";"0";"56";"dex";"9"
"body armour";"Silk Robe";"int_armour,body_armour,armour,default";"";"-3";"65";"";"";"";"";"";"";"";"0";"91";"0";"32";"int";"19"
"body armour";"Silken Garb";"int_armour,body_armour,armour,default";"";"-3";"52";"";"";"";"";"";"";"";"0";"73";"0";"25";"int";"19"
"body armour";"Silken Vest";"int_armour,body_armour,armour,default";"";"-3";"27";"";"";"";"";"";"";"";"0";"37";"0";"11";"int";"19"
"body armour";"Silken Wrap";"int_armour,body_armour,armour,default";"";"-3";"82";"";"";"";"";"";"";"";"0";"114";"0";"41";"int";"19"
"body armour";"Simple Robe";"int_armour,body_armour,armour,default";"";"-3";"12";"";"";"";"";"";"";"";"0";"17";"0";"3";"int";"19"
"body armour";"Sleek Coat";"dex_int_armour,body_armour,armour,default";"";"-3";"48";"243";"";"";"";"";"";"";"65";"65";"0";"44";"dexint";"14"
"body armour";"Soldier's Brigandine";"str_dex_armour,body_armour,armour,default";"178";"-3";"";"178";"";"";"";"";"";"";"48";"0";"48";"32";"dexstr";"78"
"body armour";"Spidersilk Robe";"int_armour,body_armour,armour,default";"";"-3";"96";"";"";"";"";"";"";"";"0";"134";"0";"49";"int";"19"
"body armour";"Strapped Leather";"dex_armour,body_armour,armour,default";"";"-3";"";"98";"";"";"";"";"";"";"32";"0";"0";"9";"dex";"9"
"body armour";"Sun Leather";"dex_armour,body_armour,armour,default";"";"-3";"";"324";"";"";"";"";"";"";"91";"0";"0";"32";"dex";"9"
"body armour";"Sun Plate";"str_armour,body_armour,armour,default";"451";"-5";"";"";"";"";"";"";"";"";"0";"0";"124";"45";"str";"71"
"body armour";"Thief's Garb";"dex_armour,body_armour,armour,default";"";"-3";"";"353";"";"";"";"";"";"";"99";"0";"0";"35";"dex";"9"
"body armour";"Triumphant Lamellar";"str_dex_armour,body_armour,armour,default";"380";"-3";"";"477";"";"";"";"";"";"";"116";"0";"95";"69";"dexstr";"78"
"body armour";"Vaal Regalia";"int_armour,body_armour,armour,default";"";"-3";"163";"";"";"";"";"";"";"";"0";"194";"0";"68";"int";"19"
"body armour";"Varnished Coat";"dex_int_armour,body_armour,armour,default";"";"-3";"75";"387";"";"";"";"";"";"";"96";"96";"0";"62";"dexint";"14"
"body armour";"War Plate";"str_armour,body_armour,armour,default";"216";"-5";"";"";"";"";"";"";"";"";"0";"0";"63";"21";"str";"71"
"body armour";"Waxed Garb";"dex_int_armour,body_armour,armour,default";"";"-3";"36";"178";"";"";"";"";"";"";"48";"48";"0";"32";"dexint";"14"
"body armour";"Widowsilk Robe";"int_armour,body_armour,armour,default";"";"-3";"150";"";"";"";"";"";"";"";"0";"187";"0";"65";"int";"19"
"body armour";"Wild Leather";"dex_armour,body_armour,armour,default";"";"-3";"";"255";"";"";"";"";"";"";"73";"0";"0";"25";"dex";"9"
"body armour";"Wyrmscale Doublet";"str_dex_armour,body_armour,armour,default";"210";"-3";"";"210";"";"";"";"";"";"";"57";"0";"57";"38";"dexstr";"78"
"body armour";"Zodiac Leather";"dex_armour,body_armour,armour,default";"";"-3";"";"854";"";"";"";"";"";"";"197";"0";"0";"65";"dex";"9"
"boots";"Ambush Boots";"dex_int_armour,boots,armour,default";"";"";"17";"85";"";"";"";"";"";"";"45";"45";"0";"47";"dexint";"15"
"boots";"Ancient Greaves";"str_armour,boots,armour,default";"151";"";"";"";"";"";"";"";"";"";"0";"0";"82";"46";"str";"72"
"boots";"Antique Greaves";"str_armour,boots,armour,default";"122";"";"";"";"";"";"";"";"";"";"0";"0";"67";"37";"str";"72"
"boots";"Arcanist Slippers";"int_armour,boots,armour,default";"";"";"45";"";"";"";"";"";"";"";"0";"119";"0";"61";"int";"20"
"boots";"Assassin's Boots";"dex_int_armour,boots,armour,default";"";"";"24";"121";"";"";"";"";"";"";"62";"62";"0";"63";"dexint";"15"
"boots";"Avian Slippers";"not_for_sale,boots,armour,default";"";"";"";"";"";"";"";"";"";"";"0";"0";"0";"1";"";"44"
"boots";"Bronzescale Boots";"str_dex_armour,boots,armour,default";"55";"";"";"55";"";"";"";"";"";"";"30";"0";"30";"30";"dexstr";"79"
"boots";"Carnal Boots";"dex_int_armour,boots,armour,default";"";"";"19";"99";"";"";"";"";"";"";"52";"52";"0";"55";"dexint";"15"
"boots";"Chain Boots";"str_int_armour,boots,armour,default";"11";"";"3";"";"";"";"";"";"";"";"0";"8";"8";"5";"intstr";"85"
"boots";"Clasped Boots";"dex_int_armour,boots,armour,default";"";"";"10";"50";"";"";"";"";"";"";"27";"27";"0";"27";"dexint";"15"
"boots";"Conjurer Boots";"int_armour,boots,armour,default";"";"";"34";"";"";"";"";"";"";"";"0";"94";"0";"53";"int";"20"
"boots";"Crusader Boots";"str_int_armour,boots,armour,default";"121";"";"24";"";"";"";"";"";"";"";"0";"62";"62";"64";"intstr";"85"
"boots";"Deerskin Boots";"dex_armour,boots,armour,default";"";"";"";"74";"";"";"";"";"";"";"42";"0";"0";"22";"dex";"10"
"boots";"Dragonscale Boots";"str_dex_armour,boots,armour,default";"121";"";"";"121";"";"";"";"";"";"";"62";"0";"62";"65";"dexstr";"79"
"boots";"Eelskin Boots";"dex_armour,boots,armour,default";"";"";"";"129";"";"";"";"";"";"";"70";"0";"0";"39";"dex";"10"
"boots";"Goathide Boots";"dex_armour,boots,armour,default";"";"";"";"42";"";"";"";"";"";"";"26";"0";"0";"12";"dex";"10"
"boots";"Golden Caligae";"not_for_sale,boots,armour,default";"";"";"";"";"";"";"";"";"";"";"0";"0";"0";"12";"";"44"
"boots";"Goliath Greaves";"str_armour,boots,armour,default";"177";"";"";"";"";"";"";"";"";"";"0";"0";"95";"54";"str";"72"
"boots";"Hydrascale Boots";"str_dex_armour,boots,armour,default";"106";"";"";"106";"";"";"";"";"";"";"56";"0";"56";"59";"dexstr";"79"
"boots";"Iron Greaves";"str_armour,boots,armour,default";"6";"";"";"";"";"";"";"";"";"";"0";"0";"8";"1";"str";"72"
"boots";"Ironscale Boots";"str_dex_armour,boots,armour,default";"34";"";"";"34";"";"";"";"";"";"";"19";"0";"19";"18";"dexstr";"79"
"boots";"Kaom's Greaves";"str_armour,not_for_sale,boots,armour,default";"8";"";"";"";"";"";"";"";"";"";"0";"0";"9";"1";"str";"76"
"boots";"Leatherscale Boots";"str_dex_armour,boots,armour,default";"12";"";"";"12";"";"";"";"";"";"";"9";"0";"9";"6";"dexstr";"79"
"boots";"Legion Boots";"str_int_armour,boots,armour,default";"104";"";"20";"";"";"";"";"";"";"";"0";"54";"54";"58";"intstr";"85"
"boots";"Mesh Boots";"str_int_armour,boots,armour,default";"51";"";"10";"";"";"";"";"";"";"";"0";"28";"28";"28";"intstr";"85"
"boots";"Murder Boots";"dex_int_armour,boots,armour,default";"";"";"17";"185";"";"";"";"";"";"";"82";"42";"0";"69";"dexint";"15"
"boots";"Nubuck Boots";"dex_armour,boots,armour,default";"";"";"";"113";"";"";"";"";"";"";"62";"0";"0";"34";"dex";"10"
"boots";"Plated Greaves";"str_armour,boots,armour,default";"77";"";"";"";"";"";"";"";"";"";"0";"0";"44";"23";"str";"72"
"boots";"Rawhide Boots";"dex_armour,boots,armour,default";"";"";"";"13";"";"";"";"";"";"";"11";"0";"0";"3";"dex";"10"
"boots";"Reinforced Greaves";"str_armour,boots,armour,default";"109";"";"";"";"";"";"";"";"";"";"0";"0";"60";"33";"str";"72"
"boots";"Ringmail Boots";"str_int_armour,boots,armour,default";"25";"";"5";"";"";"";"";"";"";"";"0";"15";"15";"13";"intstr";"85"
"boots";"Riveted Boots";"str_int_armour,boots,armour,default";"65";"";"13";"";"";"";"";"";"";"";"0";"35";"35";"36";"intstr";"85"
"boots";"Samite Slippers";"int_armour,boots,armour,default";"";"";"29";"";"";"";"";"";"";"";"0";"79";"0";"44";"int";"20"
"boots";"Satin Slippers";"int_armour,boots,armour,default";"";"";"25";"";"";"";"";"";"";"";"0";"69";"0";"38";"int";"20"
"boots";"Scholar Boots";"int_armour,boots,armour,default";"";"";"21";"";"";"";"";"";"";"";"0";"59";"0";"32";"int";"20"
"boots";"Serpentscale Boots";"str_dex_armour,boots,armour,default";"76";"";"";"76";"";"";"";"";"";"";"40";"0";"40";"42";"dexstr";"79"
"boots";"Shackled Boots";"dex_int_armour,boots,armour,default";"";"";"12";"62";"";"";"";"";"";"";"34";"34";"0";"34";"dexint";"15"
